Source,Destination,Protocol,Length_Bytes
57.144.212.145,10.128.17.27,TCP,54
57.144.212.145,10.128.17.27,TCP,86
57.144.212.145,10.128.17.27,TCP,99
57.144.212.145,10.128.17.27,TCP,99
10.128.17.27,57.144.212.145,TCP,66
10.128.17.27,57.144.212.145,TCP,90
57.144.212.145,10.128.17.27,TCP,54
57.144.212.145,10.128.17.27,TCP,396
10.128.17.27,57.144.212.145,TCP,90
57.144.212.145,10.128.17.27,TCP,54
10.128.17.27,57.144.212.145,TCP,283
57.144.212.145,10.128.17.27,TCP,54
57.144.212.145,10.128.17.27,TCP,86
57.144.212.145,10.128.17.27,TCP,99
57.144.212.145,10.128.17.27,TCP,99
10.128.17.27,57.144.212.145,TCP,66
10.128.17.27,57.144.212.145,TCP,90
57.144.212.145,10.128.17.27,TCP,54
104.208.16.91,10.128.17.27,TCP,66
104.208.16.91,10.128.17.27,TCP,66
104.208.16.91,10.128.17.27,TCP,66
104.208.16.91,10.128.17.27,TCP,66
104.208.16.91,10.128.17.27,TCP,66
10.128.17.27,10.128.17.218,UDP,92
10.128.17.27,10.128.17.218,UDP,92
10.128.17.218,10.128.17.27,UDP,227
10.128.17.218,10.128.17.27,UDP,215
10.128.17.27,104.208.16.91,TCP,66
104.208.16.91,10.128.17.27,TCP,66
104.208.16.91,10.128.17.27,TCP,66
10.128.17.27,10.128.17.218,UDP,92
10.128.17.27,10.128.17.218,UDP,92
10.128.17.27,10.128.17.218,UDP,92
10.128.17.218,10.128.17.27,UDP,227
10.128.17.218,10.128.17.27,UDP,215
10.128.17.218,10.128.17.27,UDP,260
104.208.16.91,10.128.17.27,TCP,66
